Qualtrics Columns,Current?,Added in Scoring,To Add in clean,Added before end
PST_Finished,x,,x,
PST_Firstname,x,,x,
PST_FREQEN,x,,x,
PST_Lastname,x,,x,
PST_LK1,x,,x,
PST_LK10,x,,x,
PST_LK2,x,,x,
PST_LK3,,,x,
PST_LK4,,,x,
PST_LK5,x,,x,
PST_LK6,x,,x,
PST_LK7,x,,x,
PST_LK8,x,,x,
PST_LK9,x,,x,
PST_MAJOR_1,,,x,
PST_MAJOR_12,,,x,
PST_MAJOR_13,,,x,
PST_MAJOR_2,,,x,
PST_MAJOR_3,,,x,
PST_MAJOR_4,,,x,
PST_MAJOR_5,,,x,
PST_MAJOR_6,,,x,
PST_MAJOR_7,,,x,
PST_MAJOR_8,,,x,
PST_META_INFO_Browser,x,,x,
PST_META_INFO_Operating System,x,,x,
PST_META_INFO_Resolution,x,,x,
PST_META_INFO_Version,x,,x,
PST_MOREMT,,,x,
PST_MORESC,,,x,
PST_PROF_1,x,,x,
PST_PROF_10,x,,x,
PST_PROF_11,x,,x,
PST_PROF_2,x,,x,
PST_PROF_3,x,,x,
PST_PROF_4,x,,x,
PST_PROF_5,x,,x,
PST_PROF_6,x,,x,
PST_PROF_7,x,,x,
PST_PROF_8,x,,x,
PST_PROF_9,x,,x,
PST_Progress,x,,x,
PST_Q10,x,,x,
PST_Q10CF,x,,x,
PST_Q11,x,,x,
PST_Q11CF,x,,x,
PST_Q12,x,,x,
PST_Q12CF,x,,x,
PST_Q13,x,,x,
PST_Q13CF,x,,x,
PST_Q14,x,,x,
PST_Q14CF,x,,x,
PST_Q15,x,,x,
PST_Q15CF,x,,x,
PST_Q16,x,,x,
PST_Q16CF,x,,x,
PST_Q19,x,,x,
PST_Q19CF,x,,x,
PST_Q20,,,x,
PST_Q20CF,,,x,
PST_Q21,,,x,
PST_Q21CF,,,x,
PST_Q23,x,,x,
PST_Q23CF,x,,x,
PST_Q26,x,,x,
PST_Q26CF,x,,x,
PST_Q27,x,,x,
PST_Q27CF,x,,x,
PST_Q28,x,,x,
PST_Q28CF,x,,x,
PST_Q29,,,x,
PST_Q29CF,,,x,
PST_Q3,x,,x,
